Name,Description,Purchase Price,Sell Price,Attack Power,Magic Attack Power,Gender
Cotton Tunic,"A simple tunic made of soft cotton, comfortable for everyday wear.",50,25,0,5,Unisex
Leather Vest,"A basic leather vest offering minimal protection.",80,40,2,0,Unisex
Padded Shirt,"A quilted shirt providing light defense.",120,60,0,0,Unisex
Linen Robe,"A loose-fitting robe suitable for mages.",100,50,0,10,Unisex
Studded Leather Armor,"Leather armor reinforced with metal studs.",200,100,5,0,Unisex
Chainmail Vest,"A vest made of interlocking metal rings.",350,175,8,0,Unisex
Iron Breastplate,"A solid iron plate protecting the chest.",500,250,12,0,Unisex
Silk Robe,"A luxurious robe woven from fine silk, enhancing magical prowess.",450,225,0,15,Unisex
Bronze Cuirass,"A sturdy chest piece crafted from bronze.",600,300,15,0,Unisex
Mithril Chainmail,"Lightweight yet incredibly strong chainmail.",800,400,10,5,Unisex
Steel Plate Armor,"Heavy and reliable steel plate armor.",1000,500,20,0,Unisex
Enchanted Robe,"A robe imbued with minor magical properties.",750,375,0,20,Unisex
Dragonhide Vest,"A vest crafted from the tough hide of a dragon.",1200,600,18,0,Unisex
Knight's Cuirass,"The polished chest plate of a valiant knight.",1500,750,25,0,Unisex
Mystic Robe,"A robe pulsating with arcane energy.",1300,650,0,25,Unisex
Adamantite Plate,"Extremely durable armor forged from adamantite.",2000,1000,30,0,Unisex
Celestial Tunic,"A tunic said to be woven from starlight, offering slight protection.",150,75,0,8,Unisex
Traveler's Shirt,"A comfortable and durable shirt for long journeys.",70,35,1,0,Unisex
Fisherman's Vest,"A practical vest with many pockets, surprisingly resilient.",90,45,2,0,Unisex
Woolen Tunic,"A warm tunic, ideal for colder climates.",60,30,0,0,Unisex
Leather Jacket,"A stylish leather jacket offering modest defense.",180,90,4,0,Unisex
Brigandine Vest,"A vest made of small metal plates riveted to cloth or leather.",300,150,7,0,Unisex
Scale Mail,"Armor made from overlapping scales of metal or hardened leather.",400,200,10,0,Unisex
Dark Robe,"A foreboding robe, favored by shadow mages.",380,190,0,18,Unisex
Guardian's Breastplate,"A sturdy breastplate designed for protectors.",700,350,18,0,Unisex
Elven Chainmail,"Delicately crafted chainmail, light and resilient.",900,450,12,7,Unisex
Paladin's Cuirass,"A blessed cuirass, offering both defense and spiritual resistance.",1100,550,22,5,Unisex
Sorcerer's Robe,"A robe designed to amplify magical incantations.",950,475,0,22,Unisex
Dwarven Plate,"Heavy and robust plate armor, masterfully forged.",1400,700,28,0,Unisex
Phoenix Robe,"A vibrant robe said to grant its wearer renewed vigor.",1600,800,0,30,Unisex
Hero's Plate,"The legendary plate armor of a true hero.",2500,1250,35,0,Unisex
Simple Dress,"A basic dress, comfortable for daily wear.",60,30,0,3,Female
Maiden's Blouse,"A delicate blouse often worn by young women.",75,38,0,2,Female
Chef's Apron,"A surprisingly durable apron, good for resisting minor damage.",85,42,1,0,Unisex
Merchant's Vest,"A simple vest with hidden pockets, provides little defense.",95,48,0,0,Unisex
Apprentice's Robe,"A plain robe worn by aspiring mages.",110,55,0,12,Unisex
Hunter's Tunic,"A rugged tunic, ideal for tracking and stealth.",160,80,3,0,Unisex
Reinforced Leather,"Leather armor with additional plating for better defense.",250,125,6,0,Unisex
Bandit's Jerkin,"A patched-up jerkin, good for mobility.",280,140,5,0,Unisex
Mage's Tunic,"A comfortable tunic that aids in spellcasting.",220,110,0,14,Unisex
Gothic Plate,"Dark, imposing plate armor with sharp edges.",800,400,20,0,Unisex
Acolyte's Robe,"A solemn robe worn by those devoted to ancient deities.",600,300,0,18,Unisex
Crusader's Breastplate,"A holy breastplate, blessed against evil.",1000,500,23,3,Unisex
Royal Gown,"An elegant gown, offering prestige more than protection.",500,250,0,5,Female
Warrior's Tunic,"A sturdy tunic designed for frontline combatants.",190,95,4,0,Unisex
Thief's Vest,"A lightweight vest designed for agility and concealment.",210,105,3,0,Unisex
Cleric's Vestments,"Blessed vestments providing spiritual protection.",400,200,0,16,Unisex
Gladiator's Harness,"A minimal but tough harness designed for arena combat.",550,275,13,0,Unisex
Samurai Armor,"Intricate and strong armor, balanced for offense and defense.",1300,650,20,0,Unisex
Ninja Garb,"Dark, flexible clothing for stealth and swift movement.",1100,550,15,5,Unisex
Vest of the Wild,"A vest made from beast hides, ideal for wilderness survival.",230,115,4,0,Unisex
Court Wizard's Robe,"A finely embroidered robe, befitting a royal mage.",850,425,0,23,Unisex
Heavy Leather Armor,"Thick layers of leather for enhanced defense.",320,160,7,0,Unisex
Silver Chainmail,"Chainmail woven with strands of silver, effective against dark creatures.",700,350,10,3,Unisex
Golden Cuirass,"A polished gold-plated cuirass, more for show than defense.",900,450,16,2,Unisex
Spirit Robe,"A translucent robe that shimmers with ethereal energy.",1000,500,0,28,Unisex
Obsidian Plate,"Armor crafted from solidified volcanic glass, very strong.",1800,900,28,0,Unisex
Sage's Robe,"A simple yet powerful robe, worn by wise mystics.",1500,750,0,32,Unisex
Battle-Worn Tunic,"A torn but resilient tunic, seen many skirmishes.",40,20,1,0,Unisex
Farmer's Smock,"A rough smock, offering almost no protection.",30,15,0,0,Unisex
Ranger's Vest,"A practical vest with many pockets, good for outdoor life.",170,85,3,0,Unisex
Scholar's Robe,"A comfortable robe for long hours of study.",130,65,0,13,Unisex
Hard Leather Vest,"A stiff leather vest, slightly more protective.",150,75,3,0,Unisex
Light Chainmail,"A lighter version of chainmail, for increased mobility.",280,140,6,0,Unisex
Steel Breastplate,"A standard issue breastplate for soldiers.",450,225,11,0,Unisex
Arcane Robe,"A dark robe crackling with uncontrolled magical energy.",550,275,0,21,Unisex
Reinforced Cuirass,"A cuirass with extra plating in vital areas.",750,375,17,0,Unisex
Mystical Chainmail,"Chainmail imbued with minor protective enchantments.",950,475,11,6,Unisex
Full Plate Armor,"Complete and heavy plate armor, offering superior defense.",1200,600,23,0,Unisex
Shadow Robe,"A robe that allows the wearer to blend into shadows.",1100,550,0,26,Unisex
Wyvernhide Vest,"A vest crafted from the tough hide of a wyvern.",1400,700,20,0,Unisex
Emperor's Cuirass,"A ceremonial cuirass, intricately decorated.",1700,850,27,0,Unisex
Astral Robe,"A robe said to be woven from threads of the cosmos.",1800,900,0,35,Unisex
Legendary Plate,"Plate armor of unfathomable strength, rumored to be divine.",3000,1500,40,0,Unisex
Nurse's Uniform,"A simple white uniform, surprisingly durable.",65,33,0,4,Female
Ball Gown,"A magnificent gown, offers no protection but great charm.",400,200,0,5,Female
Dancer's Veil,"A light, flowing garment that enhances agility.",90,45,1,1,Female
Priestess's Robe,"A pure white robe, blessed with divine protection.",480,240,0,19,Female
Spellbinder's Robe,"A vibrant robe that hums with magical power.",1200,600,0,29,Female
Matriarch's Gown,"An imposing gown worn by powerful female leaders.",700,350,0,10,Female
Valkyrie's Cuirass,"A golden cuirass worn by valiant warrior women.",1600,800,26,0,Female
Enchantress's Gown,"A gown of exquisite design, perfect for casting powerful spells.",1400,700,0,33,Female
Amazonian Breastplate,"A light but sturdy breastplate for female warriors.",850,425,19,0,Female
Queen's Regalia,"The ceremonial robes of a queen, imbued with subtle magic.",1100,550,0,24,Female
Huntress's Vest,"A rugged vest designed for female hunters.",200,100,4,0,Female
Druidess's Robe,"A robe made of natural fibers, attuned to nature's magic.",650,325,0,20,Female
Sorceress's Gown,"A darkly elegant gown, enhancing destructive spells.",1350,675,0,31,Female
Warrior Princess's Cuirass,"A decorative yet strong cuirass for a royal warrior.",1700,850,27,0,Female
Maiden's Plate,"Light plate armor designed for female combatants.",950,475,20,0,Female
Spirit Weaver's Robe,"A robe used to commune with spirits, enhancing spiritual magic.",1550,775,0,34,Female
Battle Dress,"A functional dress designed for combat.",300,150,3,0,Female
Silk Blouse,"A fine silk blouse, comfortable but offers no defense.",80,40,0,2,Female
Fairy Tale Gown,"A whimsical gown that offers a slight magic boost.",550,275,0,7,Female
Celestial Dress,"A dress adorned with celestial patterns, granting minor magical resistance.",600,300,0,9,Female
Moonlight Robe,"A robe that glows faintly in the dark, enhancing lunar magic.",900,450,0,26,Female
Sunstone Vest,"A vest embedded with sunstone fragments, offering fire resistance.",270,135,5,0,Unisex
Oceanic Robe,"A robe woven from kelp and enchanted shells, good for water magic.",700,350,0,22,Unisex
Gloom Vest,"A dark vest that helps the wearer blend into shadows.",240,120,4,0,Unisex
Blaze Cuirass,"A cuirass imbued with fire magic, protecting against heat.",850,425,16,0,Unisex
Frost Chainmail,"Chainmail that shimmers with icy energy, resisting cold.",1050,525,13,4,Unisex
Thunder Robe,"A robe that crackles with static, enhancing lightning spells.",1250,625,0,27,Unisex
Earth Plate,"Heavy plate armor forged from enchanted earth, very sturdy.",1900,950,29,0,Unisex
Wind Tunic,"A light tunic that makes the wearer feel swifter.",180,90,2,0,Unisex
Poison Vest,"A vest coated in a subtle, non-toxic venom, useful for rogues.",290,145,6,0,Unisex
Holy Breastplate,"A breastplate blessed by the church, resisting dark attacks.",800,400,17,0,Unisex
Cursed Robe,"A powerful but dangerous robe, drains health but boosts magic.",1000,500,-5,30,Unisex
Demonic Cuirass,"A dark, imposing cuirass said to be forged in hellfire.",1600,800,28,-5,Unisex
Angel's Robe,"A radiant robe that offers powerful divine protection.",1900,950,0,38,Unisex
Dragon Scale Plate,"Plate armor crafted from genuine dragon scales, incredibly tough.",2800,1400,38,0,Unisex
Elemental Vest,"A vest that shifts color based on the nearest element, offering minor resistance.",400,200,6,6,Unisex
Clockwork Cuirass,"A cuirass made of intricate gears and metal, offers decent defense.",700,350,14,0,Unisex
Alchemist's Robe,"A stained but resilient robe, with many hidden pockets.",600,300,0,17,Unisex
Plague Doctor's Coat,"A long, thick coat offering protection against miasma.",350,175,5,0,Unisex
Specter's Robe,"A ghostly robe that grants a small chance to evade attacks.",1150,575,0,25,Unisex
Berserker's Harness,"A minimal harness that allows for unrestrained movement and boosts attack.",600,300,16,-3,Unisex
Warden's Vest,"A robust vest for patrolling guards, with good defense.",260,130,5,0,Unisex
Siren's Robe,"A shimmering robe that enthralls those nearby, enhancing charm magic.",1000,500,0,28,Female
Vampire's Coat,"An elegant dark coat, said to sustain the wearer's life.",1300,650,10,10,Unisex
Werewolf Hide Vest,"A vest made from the hide of a werewolf, offers minor strength boost.",1500,750,22,0,Unisex
Golem Plate,"Extremely heavy and tough plate armor, slows movement.",2200,1100,32,0,Unisex
Cosmic Robe,"A robe depicting constellations, allowing glimpses of future spells.",2000,1000,0,40,Unisex
Soul Weaver's Robe,"A dark robe allowing manipulation of souls, boosts dark magic.",1700,850,0,36,Unisex
Void Plate,"Armor that seems to absorb light, offering ultimate protection.",3500,1750,45,0,Unisex
Novice's Tunic,"A simple tunic worn by those beginning their adventure.",45,23,0,0,Unisex
Old Leather Armor,"Worn and patched leather armor, still offers some defense.",100,50,3,0,Unisex
Ragged Shirt,"A tattered shirt, barely offering any protection.",20,10,0,0,Unisex
Dirty Robe,"A grimy robe, suitable for beggars or desperate mages.",70,35,0,8,Unisex
Rusty Chainmail,"Old and rusted chainmail, prone to breaking.",250,125,5,0,Unisex
Dented Breastplate,"A breastplate that has seen better days, but still functions.",400,200,9,0,Unisex
Woven Robe,"A simple robe made from woven plant fibers.",90,45,0,11,Unisex
Crude Cuirass,"A poorly made cuirass, offers basic defense.",500,250,13,0,Unisex
Gilded Chainmail,"Chainmail with decorative gold plating, less practical.",600,300,8,2,Unisex
Ornate Plate Armor,"Highly decorative plate armor, more for ceremonies.",800,400,18,0,Unisex
Whisper Robe,"A robe that makes a soft rustling sound, used for quiet movement.",650,325,0,19,Unisex
Flesh Golem Vest,"A repulsive vest made from stitched together flesh, surprisingly tough.",1000,500,15,0,Unisex
Baron's Cuirass,"A fancy cuirass, symbolizing minor nobility.",1300,650,22,0,Unisex
