Name,Purchase Price,Sell Price,Defensive Power,Magic Defensive Power,Applicable Gender,Req. Def. Power,Req. Magic Def. Power,Examine String
Leather Cap (M),100,50,5,0,Male,3,-,A simple cap made of tanned leather. Offers minimal protection.
Iron Helmet (M),250,125,10,0,Male,6,-,A sturdy helmet forged from iron. Provides basic physical defense.
Bronze Helm (M),300,150,9,2,Male,5,1,"A helm crafted from bronze, offering a touch of magical resistance."
Spiked Helmet (M),380,190,12,0,Male,7,-,An intimidating helmet adorned with sharp spikes. Focuses on physical defense.
Steel Helm (M),450,225,15,0,Male,9,-,"A well-made helmet of steel, providing reliable protection."
Great Helm (M),700,350,22,0,Male,13,-,A full-face helmet offering excellent physical protection. Limits visibility.
Dragon Scale Helm (M),900,450,25,10,Male,15,6,"A helm crafted from tough dragon scales, offering both physical and magical defense."
Holy Helm (M),1100,550,28,15,Male,17,9,"A blessed helmet radiating a faint holy aura, providing good defense."
Knight's Helm (M),1200,600,30,0,Male,18,-,"A classic knight's helm, symbolizing bravery and offering strong defense."
War Helm (M),1350,675,32,5,Male,19,3,"A rugged helmet designed for battle, with slight magical resilience."
Demon Helm (M),1750,875,35,10,Male,21,6,"A sinister helm imbued with dark energy, offering potent defenses."
Obsidian Helm (M),2000,1000,38,0,Male,22,-,"A heavy helmet carved from obsidian, providing superb physical protection."
Champion's Helm (M),2200,1100,40,8,Male,24,5,"A helm worn by champions, offering significant physical and some magical defense."
Conqueror's Helm (M),2600,1300,45,0,Male,27,-,"A helm fit for a conqueror, granting exceptional physical fortitude."
Guardian Helm (M),2800,1400,48,10,Male,29,6,"A sturdy helm favored by guardians, providing strong all-around protection."
Royal Helm (M),3000,1500,50,5,Male,30,3,"A regal helmet signifying authority, with balanced defensive capabilities."
Dread Helm (M),3500,1750,55,0,Male,33,-,"A terrifying helm that instills fear, offering superior physical defense."
Paladin's Helm (M),3800,1900,58,12,Male,34,7,"A gleaming helm worn by paladins, blessed with strong defenses."
Legendary Helm (M),4000,2000,60,15,Male,36,9,"A legendary helm spoken of in tales, offering remarkable protection."
Dragonbone Helm (M),4500,2250,65,0,Male,39,-,"A helm crafted from the bones of a mighty dragon, incredibly resilient."
Imperial Helm (M),4800,2400,68,10,Male,40,6,"A majestic helm worn by imperial soldiers, providing excellent defense."
Runeplate Helm (M),5000,2500,70,18,Male,42,10,"A helm inscribed with ancient runes, granting strong physical and magical defense."
Void Helm (M),5500,2750,75,0,Male,45,-,"A dark helm emanating void energy, offering exceptional physical protection."
Colossal Helm (M),5800,2900,78,12,Male,46,7,A massive helmet providing overwhelming physical defense.
Divine Helm (M),6000,3000,80,20,Male,48,12,"A radiant helm touched by divine power, offering superb all-around defense."
Conqueror's Crown (M),6500,3250,85,0,Male,51,-,"The ultimate symbol of conquest, granting peerless physical defense."
Titan Helm (M),6800,3400,88,15,Male,52,9,"A helm befitting a titan, offering immense physical and some magical defense."
Empyrean Helm (M),7000,3500,90,25,Male,54,15,"A heavenly helm radiating celestial energy, providing exceptional defense."
Doom Helm (M),7500,3750,95,0,Male,57,-,"A cursed helm promising unmatched physical power, but at what cost?"
Valor Helm (M),7800,3900,98,18,Male,58,10,"A helm embodying valor, offering remarkable physical and some magical defense."
Sovereign Helm (M),8000,4000,100,30,Male,60,18,"A majestic helm signifying supreme rule, with outstanding all-around defense."
War God's Helm (M),8500,4250,105,0,Male,63,-,"A helm blessed by the god of war, granting unparalleled physical might."
Indomitable Helm (M),8800,4400,108,20,Male,64,12,An unbreakable helm offering incredible physical and magical resistance.
Overlord's Helm (M),9000,4500,110,35,Male,66,21,"A helm worn by the ultimate ruler, granting supreme defensive power."
Celestial King's Helm (M),9500,4750,115,0,Male,69,-,"A helm befitting a king of the heavens, with unmatched physical defense."
Immortal Helm (M),9800,4900,118,22,Male,70,13,"A helm rumored to grant a degree of immortality, offering superb defense."
Radiant Helm (M),10000,5000,120,40,Male,72,24,A brilliantly shining helm offering exceptional physical and magical defense.
Ethereal Helm (M),10500,5250,125,0,Male,75,-,"A helm seemingly formed from pure energy, incredibly physically resilient."
World Breaker Helm (M),10800,5400,128,25,Male,76,15,"A helm said to have the power to shatter worlds, offering incredible defense."
Divine Aegis Helm (M),11000,5500,130,45,Male,78,27,"A helm blessed with divine protection, offering outstanding all-around defense."
Apex Helm (M),11500,5750,135,0,Male,81,-,"The ultimate physical helm, representing the peak of protective gear."
Phoenix Helm (M),11800,5900,138,28,Male,82,16,"A helm imbued with the fiery spirit of a phoenix, granting great defense."
Dragonfire Helm (M),12000,6000,140,50,Male,84,30,"A helm forged in dragonfire, offering exceptional resistance to all threats."
Glimmering Helm (M),12500,6250,145,0,Male,87,-,"A brightly glimmering helm, offering unmatched physical resilience."
Unyielding Helm (M),12800,6400,148,30,Male,88,18,"A helm that will not yield, providing incredible physical and magical defense."
Sunken King's Helm (M),13000,6500,150,55,Male,90,33,"A helm from a long-lost underwater kingdom, offering superb protection."
Abyssal Helm (M),13500,6750,155,0,Male,93,-,"A helm from the deepest abyss, granting phenomenal physical protection."
Primal Helm (M),13800,6900,158,32,Male,94,19,"A helm resonating with primal energy, offering exceptional all-around defense."
Zenith Helm (M),14000,7000,160,60,Male,96,36,"The ultimate helm, representing the zenith of protective craftsmanship."
Celestial Warlord's Helm (M),14500,7250,165,0,Male,99,-,"A helm befitting a warlord of the heavens, with supreme physical defense."
Absolute Helm (M),14800,7400,168,35,Male,100,21,"The ultimate in protection, offering absolute physical and magical defense."
