Name,Description,Purchase Price,Sell Price,Attack Power,Magic Attack Power
Wooden Sword,"A simple, crudely carved wooden sword. Ideal for beginners.",50,25,5,0
Dagger,"A small, sharp blade for quick attacks.",75,37,8,0
Short Sword,"A standard one-handed sword, good for basic combat.",120,60,12,0
Iron Axe,"A heavy iron axe, effective against armored foes.",150,75,15,0
Staff,"A plain wooden staff, often used by mages.",100,50,3,10
Bronze Spear,"A spear with a bronze tip, offering good reach.",130,65,10,0
Sling,"A simple projectile weapon, uses small stones as ammo.",40,20,4,0
Bow,"A basic wooden bow, requires arrows.",180,90,14,0
Leather Whip,"A flexible whip made of leather, good for crowd control.",90,45,7,0
Club,"A heavy, blunt instrument.",60,30,6,0
Copper Knuckles,"Metal plates worn over the knuckles to enhance punches.",80,40,9,0
Light Crossbow,"A compact crossbow, easier to reload than a full-sized one.",200,100,16,0
Apprentice Wand,"A basic wand for novice spellcasters.",110,55,2,12
Hunting Knife,"A versatile knife for hunting and survival.",65,32,7,0
Studded Club,"A club embedded with metal studs.",100,50,11,0
Stone Axe,"A rudimentary axe with a stone head.",70,35,8,0
Fishing Rod,"Not truly a weapon, but can be used in a pinch.",30,15,2,0
Rusty Sword,"An old, neglected sword. Not very effective.",45,22,4,0
Practice Staff,"A lightweight staff designed for training.",80,40,1,8
Small Shield,"A very small shield, offers minimal protection.",70,35,0,0
Throwing Daggers,"A set of small daggers designed for throwing.",110,55,9,0
Long Bow,"A more powerful bow, requiring greater strength.",250,125,18,0
Iron Sword,"A well-forged iron sword, more durable than bronze.",280,140,20,0
Battle Axe,"A large, two-handed axe, devastating in combat.",320,160,25,0
Magic Staff,"A staff imbued with minor magical properties.",200,100,5,18
Steel Spear,"A sharp and sturdy spear made of steel.",260,130,18,0
Short Bow,"A compact bow, good for quick shots.",160,80,12,0
War Hammer,"A heavy, blunt weapon designed to crush armor.",300,150,23,0
Grinding Stone,"A heavy stone used for grinding. Surprisingly effective.",50,25,7,0
Simple Wand,"A basic wand for casting simple spells.",150,75,3,15
Leather Gloves,"Gloves reinforced with leather, can be used for fisticuffs.",60,30,6,0
Sling Shot,"A more powerful version of a sling.",80,40,6,0
Spiked Club,"A club covered in sharp spikes.",130,65,14,0
Worn Dagger,"A used and dulled dagger.",35,17,3,0
Apprentice Staff,"A staff suitable for an apprentice mage.",120,60,4,13
Woodcutter's Axe,"An axe primarily for chopping wood, but sharp.",140,70,13,0
Blowgun,"A long tube for shooting darts. Requires darts.",90,45,5,0
Stone Hammer,"A primitive hammer with a stone head.",70,35,9,0
Rusty Knife,"A corroded and dull knife.",30,15,2,0
Frying Pan,"A common kitchen item. Surprisingly sturdy.",40,20,5,0
Torch,"A burning stick. Can be used to ward off some creatures.",20,10,1,0
Carving Knife,"A very sharp knife used for preparing food.",50,25,6,0
Farmer's Scythe,"A tool for harvesting crops, dangerous in combat.",160,80,16,0
Broken Bottle,"A shattered bottle. Very sharp, but fragile.",25,12,3,0
Candlestick,"A heavy metal candlestick.",50,25,7,0
Gardening Hoe,"A tool for digging and weeding. Can be swung.",60,30,8,0
Sturdy Stick,"A thick, durable branch.",30,15,4,0
Sewer Pipe,"A discarded pipe from the sewers. Surprisingly robust.",70,35,9,0
Old Broom,"A worn-out broom. Not very effective.",20,10,2,0
Toy Sword,"A harmless replica of a sword.",10,5,1,0
Mythril Sword,"A finely crafted sword made from rare mythril, light and sharp.",800,400,45,0
Silver Dagger,"A dagger made of pure silver, effective against supernatural foes.",750,375,40,5
Great Sword,"A massive two-handed sword, capable of cleaving through enemies.",900,450,55,0
Dragon Axe,"An axe forged in dragonfire, capable of burning foes.",1000,500,60,10
Wizard's Staff,"A staff crackling with magical energy, favored by powerful mages.",850,425,10,50
Holy Lance,"A blessed spear said to smite evil.",950,475,50,15
Repeating Crossbow,"A complex crossbow capable of rapid firing.",1100,550,58,0
Elven Bow,"A gracefully crafted bow, known for its incredible accuracy.",1200,600,62,0
Scourge Whip,"A whip enchanted with dark magic, draining foes' vitality.",700,350,35,20
Meteor Hammer,"A heavy ball and chain, strikes with incredible force.",880,440,52,0
Adamant Knuckles,"Knuckles crafted from the legendary adamant, virtually unbreakable.",920,460,56,0
Flame Blade,"A sword wreathed in fire, dealing burn damage.",780,390,48,8
Ice Brand,"A sword imbued with the essence of ice, capable of freezing enemies.",780,390,48,8
Thunder Rod,"A rod that can summon lightning bolts.",720,360,8,45
Venom Dagger,"A dagger coated in potent poison, inflicting continuous damage.",650,325,38,0
Giant Club,"A colossal club, wielded by only the strongest warriors.",820,410,50,0
Shadow Bow,"A bow that fires arrows of pure shadow, piercing defenses.",1050,525,55,10
Spirit Staff,"A staff that amplifies the wielder's connection to the spirit world.",780,390,5,48
Barrier Blade,"A sword that can temporarily create a magical shield.",850,425,42,12
Frost Axe,"An axe that emanates a chilling aura, slowing enemies.",900,450,53,5
Solar Staff,"A staff that harnesses the power of the sun, radiating healing energy.",920,460,12,55
Blade of Truth,"A legendary sword said to reveal hidden weaknesses.",1150,575,60,0
Dragon's Breath,"A short, fiery weapon that can unleash a burst of flames.",980,490,50,25
Void Scepter,"A scepter that can manipulate spatial anomalies.",1000,500,15,60
Griffin Bow,"A bow crafted from griffin feathers, offering incredible range and speed.",1300,650,65,0
Serpent Staff,"A staff topped with a coiling serpent, capable of charming foes.",800,400,7,47
Chaos Blade,"A sword that possesses unpredictable magical effects.",1250,625,58,20
Star Mace,"A mace studded with celestial fragments, glittering with cosmic energy.",950,475,54,10
Soul Harvester,"A scythe said to reap the souls of the fallen, restoring vitality to the wielder.",1100,550,56,18
Crystal Wand,"A wand made of pure crystal, focusing magical energies.",700,350,10,42
Obsidian Greatsword,"A massive sword forged from volcanic glass, incredibly sharp.",1000,500,57,0
Wind Axe,"An axe that cuts through the air with ease, creating gusts of wind.",920,460,54,5
Rune Staff,"A staff inscribed with ancient runes, enhancing spellcasting.",880,440,8,52
Lightbringer,"A sword that glows with holy light, banishing darkness.",1050,525,55,15
Darkness Bow,"A bow that fires arrows of pure shadow, obscuring vision.",980,490,52,10
Emerald Rod,"A rod adorned with a shimmering emerald, boosting earth magic.",750,375,10,44
Poisoned Whip,"A whip with a barbed tip, coated in a fast-acting poison.",680,340,36,0
Spiked Gauntlets,"Heavy gauntlets with protruding spikes, ideal for brutal close combat.",850,425,51,0
Aether Blade,"A sword that hums with ethereal energy, able to phase through some defenses.",1120,560,59,22
Ocean Scepter,"A scepter that can control water, summoning tidal waves.",900,450,12,50
Phoenix Bow,"A bow adorned with phoenix feathers, allowing arrows to ignite upon impact.",1250,625,63,10
Golem Axe,"An axe designed to shatter stone and metal, incredibly heavy.",1020,510,61,0
Mana Rod,"A simple rod that helps regenerate mana.",600,300,5,30
Dream Weaver Staff,"A staff that can induce sleep or vivid illusions.",820,410,6,49
Vampire Sword,"A sword that siphons health from enemies with each strike.",950,475,48,10
Guardian Shield,"A shield that can also be used as a blunt weapon.",700,350,30,0
Moonlight Bow,"A bow that glows softly, guiding arrows even in darkness.",1180,590,60,5
Sunstone Staff,"A staff topped with a radiant sunstone, bolstering healing spells.",900,450,10,53
Titan Axe,"A colossal axe, said to be wielded by giants.",1300,650,68,0
Spirit Blade,"A sword that can harm incorporeal beings.",1080,540,54,18
Excalibur,"A legendary sword said to be forged by the gods, grants immense power.",5000,2500,120,50
Gungnir,"A divine spear that never misses its target, piercing any defense.",4800,2400,115,40
Mjolnir,"A mythical hammer that calls down lightning, only wieldable by the worthy.",5200,2600,130,60
Masamune,"A katana of unparalleled sharpness, whispered to be cursed.",4500,2250,110,30
Asclepius,"A staff with healing powers, capable of curing all ailments.",4000,2000,20,100
Yew Bow,"A bow carved from ancient yew, its arrows seek out vital points.",4200,2100,105,20
Aegis Shield,"A divine shield that reflects all magical attacks.",3500,1750,0,0
Valhalla Axe,"An axe that sings in battle, inspiring allies and striking fear into foes.",4700,2350,125,10
Soul Edge,"A cursed sword that feeds on the wielder's soul, but grants incredible power.",4900,2450,140,0
Dragon Claw,"A gauntlet designed to mimic a dragon's claw, crushing foes.",4600,2300,118,0
Runeblade,"A sword inscribed with powerful runes, dealing elemental damage.",3800,1900,90,35
Orb of Souls,"An orb that can summon spirits to aid in battle.",3600,1800,10,90
Chaos Bow,"A bow that fires unpredictable magical arrows, sometimes devastating.",4000,2000,95,30
World Breaker,"A colossal hammer said to shatter mountains.",5500,2750,150,0
Ethereal Staff,"A staff made of pure arcane energy, granting mastery over magic.",4300,2150,15,110
Phoenix Feather Dagger,"A dagger made with a phoenix feather, allowing revival once per battle.",3900,1950,90,25
Gravity Axe,"An axe that can manipulate gravity, crushing enemies under immense weight.",4400,2200,110,15
Dreamcatcher Staff,"A staff that can put enemies into a deep sleep or manipulate their dreams.",3700,1850,10,85
Holy Avenger,"A sword that blazes with holy light, dealing extra damage to undead and demons.",4100,2050,100,40
Stormbringer,"A sword that can summon gusts of wind and lightning.",4300,2150,105,30
Sunforged Blade,"A sword crafted in the heart of a volcano, radiating immense heat.",4200,2100,102,28
Moonpetal Bow,"A bow strung with moonpetal fibers, firing arrows of pure moonlight.",3900,1950,98,22
Chrono Staff,"A staff that can manipulate time, slowing enemies or speeding up allies.",4500,2250,18,120
Dragonbone Axe,"An axe made from the bone of an ancient dragon, incredibly durable.",4600,2300,112,0
Starfall Rod,"A rod that can call down meteors from the sky.",4700,2350,25,130
Voidwalker Blade,"A sword that allows the wielder to briefly teleport.",4000,2000,95,35
Whisperwind Bow,"A bow whose arrows are carried by invisible winds, striking silently.",3800,1900,92,18
Ember Staff,"A staff constantly aglow with embers, dealing fire damage.",3700,1850,12,88
Glacial Blade,"A sword that emanates freezing cold, slowing and chilling enemies.",4100,2050,100,30
Tempest Spear,"A spear that can conjure small whirlwinds.",3900,1950,98,25
