Name,Description,Purchase Price,Sell Price,Defense Power,Magic Defense Power,Speed,Gender
Leather Greaves,"Simple leather leg guards, offering basic protection.",100,50,5,2,0,Unisex
Padded Greaves,"Lightly padded greaves for agile combatants.",120,60,6,3,1,Unisex
Bronze Greaves,"Sturdy bronze leg protection.",180,90,9,4,0,Unisex
Iron Greaves,"Common iron greaves, reliable and strong.",250,125,12,5,0,Unisex
Steel Greaves,"Heavy steel greaves, offering solid defense.",350,175,18,7,0,Unisex
Chainmail Greaves,"Flexible chainmail leg guards, good against piercing attacks.",420,210,15,10,0,Unisex
Plate Greaves,"Full plate leg armor, excellent protection.",550,275,25,8,0,Unisex
Mithril Greaves,"Greaves crafted from light and strong mithril.",800,400,30,15,5,Unisex
Adamant Greaves,"Nearly impenetrable greaves made from adamant ore.",1200,600,45,20,0,Unisex
Dragonhide Greaves,"Greaves made from the tough hide of a dragon.",1500,750,40,30,0,Unisex
Elven Greaves,"Graceful greaves favored by elves, light and protective.",600,300,20,25,3,Unisex
Dwarven Greaves,"Robust greaves forged by dwarven artisans.",700,350,35,10,0,Unisex
Shadow Greaves,"Greaves imbued with dark energies, granting stealth.",900,450,28,28,8,Male
Holy Greaves,"Blessed greaves that ward off evil.",1000,500,32,35,0,Female
Mystic Greaves,"Greaves that enhance magical aptitude.",950,475,25,40,0,Unisex
Warrior Greaves,"Standard issue greaves for a seasoned warrior.",400,200,22,6,0,Unisex
Knight Greaves,"Greaves fit for a noble knight.",650,325,30,12,0,Male
Sentinel Greaves,"Heavy greaves designed for defensive stances.",750,375,38,15,0,Unisex
Scout Greaves,"Light greaves for quick movement and evasion.",300,150,10,8,7,Unisex
Ranger Greaves,"Greaves suitable for wilderness survival.",380,190,16,14,2,Unisex
Berserker Greaves,"Greaves for those who fight with unrestrained fury.",500,250,28,5,0,Male
Paladin Greaves,"Greaves of a holy warrior, offering divine protection.",1100,550,40,30,0,Male
Sorcerer Greaves,"Light greaves that aid in spellcasting.",450,225,10,30,0,Unisex
Warlock Greaves,"Greaves for those who dabble in dark magic.",520,260,15,32,0,Unisex
Adept Greaves,"Greaves worn by skilled practitioners.",600,300,20,20,0,Unisex
Guardian Greaves,"Greaves designed to protect the wearer at all costs.",850,425,42,18,0,Unisex
Heroic Greaves,"Greaves worn by legendary heroes.",1300,650,50,25,0,Unisex
Imperial Greaves,"Greaves of the imperial guard, highly polished.",720,360,33,10,0,Unisex
Royal Greaves,"Greaves fit for royalty, exquisitely crafted.",1400,700,55,30,0,Unisex
Traveler Greaves,"Simple and comfortable greaves for long journeys.",90,45,4,2,0,Unisex
Hunter Greaves,"Greaves designed for tracking and hunting.",320,160,14,10,4,Unisex
Mercenary Greaves,"Greaves of a hired blade, practical and durable.",280,140,13,6,0,Unisex
Gladiator Greaves,"Heavy greaves worn by arena champions.",680,340,36,8,0,Male
Barbarian Greaves,"Crude but effective greaves of a barbarian.",480,240,26,4,0,Male
Druid Greaves,"Greaves made from natural materials, attuned to nature.",580,290,18,22,0,Female
Cleric Greaves,"Greaves blessed by divine power, for healing.",620,310,20,28,0,Female
Monk Greaves,"Light greaves for martial arts practitioners.",360,180,12,16,6,Unisex
Samurai Greaves,"Greaves of a disciplined warrior from the East.",780,390,34,14,0,Male
Ninja Greaves,"Light and silent greaves for covert operations.",500,250,16,18,10,Unisex
Templar Greaves,"Holy greaves worn by zealous protectors.",1200,600,45,35,0,Male
Enchanted Greaves,"Greaves imbued with a minor enchantment.",650,325,25,25,0,Unisex
Crystalline Greaves,"Greaves crafted from durable crystals.",980,490,38,30,0,Unisex
Volcanic Greaves,"Greaves forged near volcanic heat, resilient.",1100,550,48,20,0,Unisex
Oceanic Greaves,"Greaves found in the depths of the ocean, resistant to water.",1050,525,40,28,0,Unisex
Forest Greaves,"Greaves that blend with natural surroundings.",500,250,17,15,3,Unisex
Desert Greaves,"Greaves suitable for arid environments.",450,225,15,12,0,Unisex
Arctic Greaves,"Greaves designed for cold climates.",470,235,16,13,0,Unisex
Starfall Greaves,"Greaves said to be crafted from fallen stars.",1600,800,60,40,0,Unisex
Sunstone Greaves,"Greaves that shimmer with solar energy.",1350,675,52,32,0,Unisex
Moonstone Greaves,"Greaves that glow with lunar power.",1350,675,50,35,0,Unisex
Aether Greaves,"Greaves from another dimension, ethereal.",1700,850,65,45,0,Unisex
Void Greaves,"Greaves that draw power from the void.",1800,900,70,50,0,Unisex
Spirit Greaves,"Greaves that resonate with spiritual energy.",1250,625,45,40,0,Unisex
Ancient Greaves,"Greaves from a forgotten civilization.",1500,750,58,38,0,Unisex
Legendary Greaves,"Greaves spoken of in ancient tales.",2000,1000,75,55,0,Unisex
Godly Greaves,"Greaves worn by deities, immense power.",2500,1250,90,60,0,Unisex
Apprentice Greaves,"Basic greaves for aspiring adventurers.",70,35,3,1,0,Unisex
Journeyman Greaves,"Greaves for those gaining experience.",150,75,7,3,0,Unisex
Master Greaves,"Greaves worn by true masters of their craft.",1000,500,40,25,0,Unisex
Grandmaster Greaves,"Greaves of unparalleled skill and defense.",1500,750,55,35,0,Unisex
Vanguard Greaves,"Greaves for the front lines of battle.",800,400,38,10,0,Male
Recon Greaves,"Light greaves for reconnaissance missions.",350,175,10,10,8,Unisex
Commando Greaves,"Greaves for elite fighting units.",950,475,40,15,0,Male
Pathfinder Greaves,"Greaves for charting unknown territories.",400,200,15,12,5,Unisex
Wanderer Greaves,"Greaves for eternal travelers.",200,100,8,6,1,Unisex
Nomad Greaves,"Greaves for those who live on the move.",220,110,9,7,2,Unisex
Pilgrim Greaves,"Greaves for spiritual journeys.",240,120,10,9,0,Unisex
Crusader Greaves,"Greaves of a holy warrior on a quest.",1150,575,42,30,0,Male
Inquisitor Greaves,"Greaves for those who seek out heresy.",1050,525,38,32,0,Male
Zealot Greaves,"Greaves of unwavering devotion.",900,450,35,28,0,Female
Fanatic Greaves,"Greaves of extreme fervor.",850,425,32,25,0,Female
Sentry Greaves,"Greaves for watchful guards.",700,350,30,10,0,Unisex
Watchman Greaves,"Greaves for night patrols.",680,340,28,9,0,Unisex
Militia Greaves,"Greaves for civilian defense.",150,75,6,3,0,Unisex
Conscript Greaves,"Basic greaves for newly drafted soldiers.",120,60,5,2,0,Unisex
Officer Greaves,"Greaves worn by military officers.",750,375,35,12,0,Unisex
Commander Greaves,"Greaves of a battle hardened commander.",900,450,40,18,0,Unisex
General Greaves,"Greaves fit for a military general.",1000,500,45,20,0,Unisex
Emperor Greaves,"Greaves of an undisputed ruler.",1600,800,60,35,0,Male
Empress Greaves,"Greaves of a powerful female ruler.",1600,800,58,38,0,Female
Heroine Greaves,"Greaves of a celebrated female hero.",1300,650,48,28,0,Female
Champion Greaves,"Greaves of an undisputed champion.",1400,700,55,30,0,Male
Victor Greaves,"Greaves worn by those who claim victory.",1200,600,48,25,0,Unisex
Triumph Greaves,"Greaves signifying great success.",1300,650,52,28,0,Unisex
Aura Greaves,"Greaves that emanate a protective aura.",900,450,30,30,0,Unisex
Sanctuary Greaves,"Greaves that offer a sense of peace.",1100,550,40,35,0,Female
Seraph Greaves,"Greaves of angelic origin.",1700,850,62,45,0,Female
Cherub Greaves,"Light and protective greaves.",1500,750,55,40,5,Female
Archangel Greaves,"Greaves of the highest order of angels.",1800,900,70,50,0,Female
Demon Greaves,"Greaves infused with demonic power.",1600,800,65,30,0,Male
Fiend Greaves,"Greaves of a malevolent spirit.",1500,750,60,28,0,Male
Imp Greaves,"Small but surprisingly tough greaves.",250,125,10,5,0,Unisex
Goblin Greaves,"Crude greaves taken from goblins.",80,40,4,1,0,Unisex
Orcish Greaves,"Heavy and brutal greaves of orcs.",300,150,18,4,0,Male
Ogre Greaves,"Massive greaves for immense creatures.",500,250,28,6,0,Male
Giant Greaves,"Greaves sized for colossal beings.",700,350,38,8,0,Male
Titan Greaves,"Greaves of legendary titans, immensely strong.",1900,950,72,40,0,Unisex
Dragonlord Greaves,"Greaves worn by a dragonlord.",2200,1100,80,50,0,Male
Wyvern Greaves,"Greaves crafted from wyvern scales.",1400,700,50,30,0,Unisex
