Name,Description,Purchase Price,Sell Price,Defense Power,Magic Defense Power,Gender
Leather Cap,"A simple cap made from hardened leather, offering basic protection.",50,25,2,0,Unisex
Iron Helm,"A sturdy iron helmet, common among foot soldiers.",120,60,5,0,Unisex
Steel Helmet,"Forged from resilient steel, providing superior defense.",280,140,8,0,Unisex
Mythril Coif,"A lightweight and strong coif made from mythril, favored by adventurers.",600,300,12,5,Unisex
Dragonhide Helm,"Crafted from the scales of a dragon, offering exceptional protection against fire.",1500,750,18,8,Unisex
Crown of Heroes,"A legendary crown worn by ancient heroes, said to inspire courage.",5000,2500,25,15,Unisex
Royal Circlet,"An elegant circlet adorned with jewels, worn by royalty.",800,400,0,10,Female
Warrior's Greathelm,"A heavy greathelm designed for powerful warriors, offering maximum frontal defense.",350,175,10,0,Male
Archer's Hood,"A light hood that provides camouflage and enhances an archer's precision.",100,50,3,0,Unisex
Mage's Hat,"A pointed hat worn by mages, rumored to amplify magical energies.",90,45,0,7,Unisex
Helm of Wisdom,"A helmet imbued with ancient knowledge, boosting a mage's intellect.",700,350,0,12,Unisex
Paladin's Helm,"A gleaming helmet worn by holy warriors, radiating divine protection.",1800,900,15,10,Male
Dark Knight's Visor,"A menacing visor worn by dark knights, instilling fear in enemies.",1750,875,16,5,Male
Thief's Bandana,"A discreet bandana that aids stealth and agility.",70,35,3,0,Unisex
Assassin's Cowl,"A dark cowl that grants the wearer enhanced senses and deadly precision.",900,450,12,3,Unisex
Hunter's Cap,"A practical cap for hunters, designed for wilderness survival.",110,55,4,0,Unisex
Berserker's Headpiece,"A brutal headpiece that amplifies a warrior's raw strength.",400,200,13,0,Male
Guardian's Helm,"A heavy, defensive helmet worn by guardians, deflecting blows.",650,325,10,0,Unisex
Healer's Tiara,"A delicate tiara that enhances healing spells and provides comfort.",150,75,0,8,Female
Scholar's Mortarboard,"A traditional academic hat, said to improve focus and memory.",80,40,0,5,Unisex
Gladiator's Helmet,"A fearsome helmet worn by gladiators, designed for arena combat.",550,275,14,0,Unisex
Sorceress's Veil,"A mysterious veil that conceals the wearer's identity and enhances dark magic.",850,425,0,13,Female
Crusader's Helm,"A cross-emblazoned helm worn by crusaders, symbolizing faith and might.",1600,800,14,7,Male
Barbarian's Skullcap,"A crude skullcap fashioned from animal hide, favored by fierce barbarians.",200,100,7,0,Unisex
Knight's Bascinet,"A classic knight's helmet with a pointed visor, offering good protection.",300,150,9,0,Male
Enchanter's Hood,"A mystical hood that aids in the art of enchantment.",130,65,0,6,Unisex
Viking's Helmet,"A horned helmet worn by fierce Viking warriors, inspiring dread.",450,225,11,0,Unisex
Druid's Circlet,"A nature-infused circlet that boosts connection to the earth's magic.",250,125,0,9,Unisex
Scout's Hat,"A lightweight hat for scouts, providing good visibility and protection from elements.",60,30,2,0,Unisex
Brigandine Helmet,"A helmet reinforced with metal plates, offering improved defense.",220,110,7,0,Unisex
Samurai Kabuto,"A traditional samurai helmet, symbolizing honor and discipline.",1200,600,16,4,Male
Ninja Hood,"A stealthy hood worn by ninjas, aiding in clandestine operations.",300,150,8,2,Unisex
Priest's Mitre,"A ceremonial mitre worn by priests, enhancing divine blessings.",180,90,0,10,Unisex
Cleric's Coif,"A simple coif worn by clerics, providing modest protection and spiritual focus.",100,50,0,6,Unisex
Spellweaver's Tiara,"A sparkling tiara that amplifies the power of complex spells.",950,475,0,14,Female
Warlord's Helm,"A formidable helm worn by military commanders, inspiring loyalty and fear.",2000,1000,20,5,Male
Sentinel's Helmet,"A heavy, defensive helmet worn by vigilant sentinels, guarding key locations.",750,375,11,0,Unisex
Minstrel's Cap,"A whimsical cap worn by minstrels, adding charm to their performances.",40,20,1,1,Unisex
Dancer's Headpiece,"An elaborate headpiece that complements a dancer's movements and grace.",70,35,0,2,Female
Jester's Hat,"A colorful, three-pointed hat worn by jesters, spreading mirth.",30,15,0,0,Unisex
Alchemist's Goggles,"Goggles designed to protect the eyes of alchemists during experiments.",50,25,0,3,Unisex
Engineer's Hard Hat,"A durable hard hat worn by engineers, providing protection in hazardous environments.",150,75,5,0,Unisex
Artisan's Beret,"A stylish beret worn by artisans, inspiring creativity.",60,30,0,1,Unisex
Monk's Headband,"A simple headband worn by monks, aiding in focus and meditation.",80,40,2,2,Unisex
Acolyte's Hood,"A humble hood worn by acolytes, signifying their dedication.",70,35,0,4,Unisex
Sage's Turban,"A wise turban worn by sages, imbued with ancient knowledge.",1100,550,0,15,Unisex
Necromancer's Hood,"A dark, tattered hood worn by necromancers, enhancing their control over the undead.",1000,500,5,16,Unisex
Warlock's Helm,"A menacing helm favored by warlocks, amplifying their dark powers.",1300,650,8,17,Male
Shaman's Headdress,"A feathered headdress worn by shamans, connecting them to ancestral spirits.",600,300,4,11,Unisex
Beastmaster's Cap,"A rugged cap worn by beastmasters, aiding in animal taming.",170,85,6,0,Unisex
Inquisitor's Hood,"A somber hood worn by inquisitors, projecting authority and sternness.",1400,700,10,12,Unisex
Oracle's Circlet,"A shimmering circlet worn by oracles, granting glimpses of the future.",1600,800,0,18,Female
Prophet's Headwrap,"A simple headwrap worn by prophets, aiding in divine communication.",1200,600,0,16,Unisex
Champion's Helm,"A grand helmet worn by champions, symbolizing their triumphs.",2200,1100,22,10,Male
Valkyrie's Helm,"A winged helm worn by valkyries, granting them courage and strength.",1900,950,17,10,Female
Dreadnought Helm,"A massive, heavily armored helm designed for ultimate defense.",2500,1250,20,0,Unisex
Ghostly Visage,"A spectral helm that grants the wearer ethereal properties.",1700,850,7,14,Unisex
Sunstone Circlet,"A radiant circlet made of sunstone, imbued with healing light.",800,400,0,12,Female
Moonlight Tiara,"A luminous tiara that glows with moonlight, enhancing nocturnal magic.",800,400,0,12,Female
Starfall Helm,"A helm said to be forged from fallen stars, possessing cosmic power.",3000,1500,28,20,Unisex
Oceanic Helmet,"A helmet crafted from deep-sea materials, providing protection against water-based attacks.",900,450,10,7,Unisex
Volcanic Helm,"A helm forged in volcanic fire, granting resistance to heat.",900,450,10,7,Unisex
Forest Dweller's Hood,"A hood woven from leaves and vines, providing camouflage in forests.",120,60,4,0,Unisex
Desert Nomad's Turban,"A practical turban for desert dwellers, protecting against sand and sun.",130,65,3,0,Unisex
Frostbite Helm,"A helm enchanted with ice magic, chilling enemies upon impact.",1100,550,13,9,Unisex
Thunderclap Helm,"A helm infused with storm energy, allowing the wearer to channel lightning.",1100,550,13,9,Unisex
Earthshaker Helm,"A heavy helm that resonates with the power of the earth, increasing physical might.",1000,500,15,0,Unisex
Skywalker Helm,"A lightweight helm that seems to defy gravity, aiding in agility.",950,475,8,6,Unisex
Spiritwalker Mask,"A ceremonial mask that allows communion with spirits.",1500,750,0,15,Unisex
Shadow Weaver's Hood,"A dark hood that allows the wearer to manipulate shadows.",1450,725,6,14,Unisex
Dream Catcher's Tiara,"A mystical tiara that protects against nightmares and enhances lucid dreaming.",700,350,0,11,Female
Nightfall Helm,"A helm as dark as night, granting stealth and improved vision in darkness.",1600,800,15,5,Unisex
Daybreak Circlet,"A radiant circlet that harnesses the power of the rising sun, dispelling darkness.",1600,800,0,15,Female
Golem's Headpiece,"A sturdy headpiece made from golem fragments, offering immense durability.",1800,900,18,0,Unisex
Fairy's Garland,"A delicate garland woven from enchanted flowers, granting subtle magical abilities.",300,150,0,5,Female
Gnome's Helmet,"A small, sturdy helmet crafted by gnomes, surprisingly resilient.",180,90,6,0,Unisex
Dwarven Helmet,"A finely crafted, heavy helmet made by master dwarven smiths.",700,350,12,0,Unisex
Elven Circlet,"An exquisitely crafted circlet worn by elves, enhancing their natural grace.",400,200,0,8,Female
Orcish Warhelm,"A crude but brutal warhelm, favored by orcish warriors.",250,125,9,0,Unisex
