Name,Description,Purchase Price,Sell Price,Defense Power,Magic Defense Power,Gender
Woven Pauldron,"A simple pauldron woven from sturdy fibers. Offers basic protection.",100,50,2,0,Unisex
Leather Pauldron,"Crafted from cured leather, providing light defense.",150,75,3,0,Unisex
Studded Pauldron,"Leather pauldron reinforced with metal studs for added protection.",200,100,4,0,Unisex
Chain Pauldron,"Interlocking metal rings form a flexible and protective pauldron.",250,125,5,0,Unisex
Scale Pauldron,"Overlapping metal scales provide good defense against various attacks.",300,150,6,0,Unisex
Bronze Pauldron,"Solid bronze pauldron offering decent protection.",350,175,7,0,Unisex
Iron Pauldron,"Heavy iron pauldron, providing substantial physical defense.",400,200,8,0,Unisex
Steel Pauldron,"Forged from strong steel, a reliable choice for warriors.",450,225,9,0,Unisex
Mithril Pauldron,"Lightweight yet incredibly strong, favored by agile fighters.",500,250,10,0,Unisex
Adamant Pauldron,"Legendary metal pauldron, offering immense protection.",550,275,11,0,Unisex
Dragonhide Pauldron,"Crafted from the tough hide of a dragon, resistant to many elements.",600,300,12,0,Unisex
Runed Pauldron,"Etched with ancient runes, granting minor magical resistance.",650,325,13,1,Unisex
Heroic Pauldron,"A pauldron worn by heroes of old, imbued with fighting spirit.",700,350,14,0,Male
Valiant Pauldron,"Signifies courage and strength, often worn by knights.",750,375,15,0,Male
Glorious Pauldron,"A shining pauldron, symbolizing victory and honor.",800,400,16,0,Male
Champion's Pauldron,"Worn by the undefeated champions of the arena.",850,425,17,0,Male
Commander's Pauldron,"Grants authority and inspires allies on the battlefield.",900,450,18,0,Male
Warlord's Pauldron,"Heavy and menacing, favored by fierce military leaders.",950,475,19,0,Male
Royal Guard Pauldron,"Issued to the elite protectors of the monarchy.",1000,500,20,0,Male
Sacred Pauldron,"Blessed by divine power, offering protection against evil.",1050,525,21,1,Male
Paladin Pauldron,"Worn by holy warriors dedicated to justice.",1100,550,22,2,Male
Crusader Pauldron,"Heavy and imposing, a symbol of unwavering faith.",1150,575,23,0,Male
Sentinel Pauldron,"Designed for vigilant guardians, offering superior defense.",1200,600,24,0,Male
Guardian's Pauldron,"Imbued with protective magic, shielding its wearer from harm.",1250,625,25,3,Male
Dragonbone Pauldron,"Forged from the bones of a fallen dragon, incredibly durable.",1300,650,26,0,Male
Soulbound Pauldron,"Binds to its wearer, enhancing their fighting prowess.",1350,675,27,0,Male
Vanguard Pauldron,"Leads the charge, offering robust protection in the front lines.",1400,700,28,0,Male
Bulwark Pauldron,"An impenetrable defense, almost impossible to breach.",1450,725,29,0,Male
Fortress Pauldron,"Turns its wearer into a walking fortress, unyielding.",1500,750,30,0,Male
Titan's Pauldron,"Said to have been worn by a Titan, incredibly powerful.",1550,775,31,0,Male
Warrior Maiden Pauldron,"Designed for courageous female warriors.",700,350,14,0,Female
Amazonian Pauldron,"Worn by the legendary Amazons, light yet strong.",750,375,15,0,Female
Valkyrie Pauldron,"Shines with divine light, granting protection to its wearer.",800,400,16,0,Female
Huntress Pauldron,"Allows for agile movement while offering decent protection.",850,425,17,0,Female
Shieldmaiden's Pauldron,"Worn by fierce shieldmaidens, providing robust defense.",900,450,18,0,Female
Daughter of the Forest Pauldron,"Blends with nature, offering subtle protection.",950,475,19,0,Female
Queen's Guard Pauldron,"Elegant yet strong, worn by the elite protectors of the queen.",1000,500,20,0,Female
Divine Maiden Pauldron,"Blessed by ancient goddesses, warding off malevolent forces.",1050,525,21,1,Female
Priestess Pauldron,"Worn by holy priestesses, offering both defense and spiritual aid.",1100,550,22,2,Female
Mystic Pauldron,"Imbued with arcane energies, enhancing magical defenses.",1150,575,23,4,Unisex
Sorcerer's Pauldron,"Favored by powerful sorcerers, enhancing their spellcasting.",1200,600,24,5,Unisex
Archmage Pauldron,"A pauldron of immense magical power, worn by master mages.",1250,625,25,6,Unisex
Warlock Pauldron,"Dark and potent, for those who wield forbidden magic.",1300,650,26,7,Unisex
Enchanter's Pauldron,"Enhances enchantments and magical effects.",1350,675,27,8,Unisex
Sage's Pauldron,"Worn by wise sages, granting insight and magical prowess.",1400,700,28,9,Unisex
Necromancer Pauldron,"Allows for manipulation of the undead, dark and chilling.",1450,725,29,10,Unisex
Lich Pauldron,"A relic of immense power, brimming with dark magic.",1500,750,30,11,Unisex
Elemental Pauldron,"Channels the power of the elements, offering varied resistances.",1550,775,31,12,Unisex
Astral Pauldron,"Said to be woven from starlight, offering cosmic protection.",1600,800,32,13,Unisex
Shadow Pauldron,"Grants concealment and enhances stealth, for those who walk in shadows.",1650,825,33,14,Unisex
Assassin's Pauldron,"Light and agile, perfect for striking from the shadows.",1700,850,34,0,Male
